,Department,Class,Accounting,Aeronautical.Engineering,Aerospace.Engineering,Analytical.Chemistry,Applied.Dynamics,Applied.Physics,Artificial.Intelligence,Astrophysics,Bio.and.Brain.Engineering,Biochemical.Engineering,Biochemistry,Biological.Engineering,Biology,Business.Administration,Business.Informatics,Ceramic.Engineering,Chemical.Engineering,Chemistry,Civil.and.Environmental.Engineering,Civil.Engineering,Computational.Electronic.Engineering,Computational.Electronics,Computational.Statistics,Computer.Science,Computer.Science.Logic,Control.and.Measurement.Engineering,Cultural.Technology,Design,Economics,Education.in.Biology,EEWS,Electrical.and.Electronic.Engineering,Electrical.Engineering,Electrical.Engineering.and.Computer.Science,Electronic.Engineering,Electronic.Materials.Engineering,Engineerings,English.Literature,Environmental.Engineering,Finance,Financial.Management,Food.Biotechnology,Genetic.Engineering,Humanities.and.Social.Sciences,Immunology,Industrial.and.Systems.Engineering,Industrial.Design,Industrial.Engineering,Information.Engineering,Inorganic.Materials.Engineering,International.Relations,Korean.Literature,Management.and.Technology,Management.Engineering,Management.Science,Marketing,Materials.Engineering,Mathematics,Mechanical.Design,Mechanical.Engineering,Medical.Chemistry,Medicine,Metallic.Materials.Engineering,Metallurgy,Microbiology,Molecular.Biology,Nanotechnology,Neuroscience,Nuclear.and.Quantum.Engineering,Nuclear.Engineering,Nucleonics,Optics,OR,Pharmacology,Pharmacy,Physical.Chemistry,Physics,Policy.Studies,Politics,Polymer.Chemistry,Precision.Engineering,Production.Engineering,Psychology,Public.Administration,Science..Technology.and.Society,Service.Industrial.Engineering,Statistics,Structural.Engineering,System.Design.Engineering,Telecommunication.Engineering,Theoretical.Economics,Transportation.Studies,Welding.Engineering
1,Accounting,College of Business,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Aeronautical Engineering,College of Engineering - Mechanical,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Aerospace Engineering,College of Engineering - Mechanical,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Analytical Chemistry,College of Engineering - Materials,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Applied Dynamics,College of Engineering - Mechanical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Applied Physics,College of Natural Sciences,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Artificial Intelligence,College of Engineering - CS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Astrophysics,College of Natural Sciences,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Bio and Brain Engineering,College of Engineering - CS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Biochemical Engineering,College of Life Science and Bioengineering,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
