source,target,weight
Computer Systems,Computer Science,1
Operations Research,Management Engineering,1
Operations Research,Electrical Engineering,1
Operations Research,Technology Management,1
Animal Husbandry,Animal Husbandry,1
Animal Husbandry,Biology,1
Civil Engineering,Civil Engineering,36
Civil Engineering,Management Sciences,1
Civil Engineering,Mechanical Engineering,1
Architectural Engineering,Structural Engineering,1
Architecture,Culture Technology,1
Management Engineering,Management Engineering,1
Management Sciences,Management Engineering,4
Management Sciences,Management Sciences,3
Management Sciences,Management Informatics,1
Management Sciences,Mathematics,1
Management Sciences,Accounting Information System,1
Management Sciences,Technology Management,1
Management Informatics,Management Engineering,3
Business Management,Management Engineering,17
Business Management,Business Management,28
Business Management,Economics,1
Business Management,Advertisement,1
Business Management,Finance,4
Business Management,Marketing,1
Business Management,Industrial Engineering,2
Business Management,Mathematics,1
Business Management,Psychology,1
Business Management,Financial Management,2
Business Management,Statistics,1
Business Management,Accounting,2
Business Management,Technology Management,5
Business Management,Industriral and Systems Engineering,1
Economic Management,Business Management,1
Economics,Management Engineering,8
Economics,Management Sciences,1
Economics,Business Management,3
Economics,Economics,15
Economics,Theoretical Economics,1
Economics,Organization Studies,1
Economics,Technology Management,8
Economics,Industriral and Systems Engineering,1
Computational Statistics,Computational Statistics,2
Computational Statistics,Computer Science,1
Computational Statistics,Electronic Computer Science,2
Computational Statistics,Information Engineering,1
Computational Statistics,Statistics,1
Ancinet Art History,Art History,1
Macromolecule Engineering,Biochemical Engineering,1
Macromolecular Science,Biochemical Engineering,1
Macromolecular Chemistry,Chemistry,1
Solid Physics,Materials Physics,1
Engineering,Computer Science,1
Engineering System Architecture,Mechanical Engineering,1
Science Education,Chemistry,1
"Science, Technology and Policy",Technology Management,1
"Science, Technology and Society",Science  Technology and Policy,1
Science History,Science  Technology and Policy,1
Science History,Science History,1
Science History,Humanities,1
Science History and Philosophy,Science History and Philosophy,1
Science History and Philosophy,Philosophy,1
Advertisement,Marketing,1
Optics,Optics,1
Optics,Physics,1
Optics,Electrical Engineering,1
Structural Engineering,Civil Engineering,2
Structural Engineering,Structural Engineering,2
Korean History,Korean History,2
Korean History,Humanities,1
Korean Education,Korean Literature,1
Korean Literature,Korean Literature,5
Korean Literature,Humanities,3
International Economics,Management Sciences,1
International Economics,Economics,1
International Relations,Politics,1
Metal Engineering,Metal Engineering,10
Metal Engineering,Medical Engineering,1
Metal Engineering,Materials Science,13
Metal Materials Science,Materials Science,3
Finance,Management Engineering,4
Finance,Finance,1
Mechanical Engineering,Civil Engineering,2
Mechanical Engineering,Engineering System Architecture,1
Mechanical Engineering,Mechanical Engineering,127
Mechanical Engineering,Technology Policy,1
Mechanical Engineering,Industrial Engineering,3
Mechanical Engineering,Production Engineering,2
Mechanical Engineering,Welding Engineering,1
Mechanical Engineering,Nuclear Quantum Engineering,1
Mechanical Engineering,Applied Dynamics,1
Mechanical Engineering,Medical Engineering,1
Mechanical Engineering,Computer Science,2
Mechanical Engineering,Electronic Engineering,1
Mechanical Engineering,Electronic Computer Engineering,1
Mechanical Engineering,Aeronautical Engineering,1
Mechanical Engineering,Aerospace Engineering,2
Mechanical Engineering,Industriral and Systems Engineering,2
Mechanical Engineering,Green Transportation,3
Mechanical Engineering,Bio and Brain Engineering,3
Mechanical Architecture,Mechanical Engineering,3
Mechanical Architecture,Mechanical Architecture,2
Mechanical Architecture,Electrical Engineering,1
Industrial Strategy,Science  Technology and Policy,1
Technology Policy,Aerospace Engineering,1
Technology Policy,Technology Management,1
Geometry,Mathematics,1
Agricultural Engineering,Structural Engineering,1
Agriculture,Biochemistry,1
Agricultural Chemistry,Agricultural Chemistry,1
Agricultural Chemistry,Health Science,1
Agricultural Chemistry,Biological Engineering,1
Agricultural Chemistry,Environment Engineering,1
Agricultural Chemistry,Accounting,1
German Literature,German Literature,2
German Literature,Humanities,1
