Source,Target,Label,Weight
금속공학,재료공학,Masters,1
물리학,물리학,Masters,1
자원공학,화학공학,Masters,1
재료공학,재료공학,Masters,1
재료공학,재료공학,Masters,1
재료공학,재료공학,Masters,1
전자공학,전자공학,Masters,1
해양학,화학,Masters,1
화학,화학,Masters,1
화학,화학,Masters,1
화학공학,화학공학,Masters,1
건설및환경공학,건설및환경공학,Masters,1
건축공학,구조공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,토목공학,Masters,1
농업토목학,구조공학,Masters,1
농화학,농화학,Masters,1
수학,전산,Masters,1
전기및전자공학,전기및전자공학,Masters,1
토목공학,토목공학,Masters,1
토목공학,토목공학,Masters,1
토목공학,토목공학,Masters,1
토목공학,토목공학,Masters,1
토목공학,토목공학,Masters,1
토목공학,토목공학,Masters,1
토목공학,토목환경공학,Masters,1
토목공학,환경공학,Masters,1
환경공학,건설및환경공학,Masters,1
경영,경영,Masters,1
경영,경영,Masters,1
경영과학,경영과학,Masters,1
경영학,경영학,Masters,1
경영학,경영학,Masters,1
경영학,경영학,Masters,1
경영학,경영학,Masters,1
경영학,경영학,Masters,1
경영학,경영학,Masters,1
경영학,경영학,Masters,1
경영학,경영학,Masters,1
경영학,경영학,Masters,1
경영학,광고홍보학,Masters,1
경영학,금융학,Masters,1
경영학,산업공학,Masters,1
경영학,산업공학,Masters,1
경영학,수학,Masters,1
경영학,통계학,Masters,1
경제,경영정보,Masters,1
경제,경제,Masters,1
경제,경제,Masters,1
경제경영학,경영,Masters,1
경제학,경영,Masters,1
경제학,경제,Masters,1
경제학,경제학,Masters,1
경제학,경제학,Masters,1
경제학,조직학,Masters,1
계산통계학,계산통계학,Masters,1
국제경제학,경영과학,Masters,1
국제경제학,경제학,Masters,1
사회학,경영,Masters,1
산업공학,경영과학,Masters,1
산업공학,경영과학,Masters,1
산업공학,산업공학,Masters,1
산업공학,산업공학,Masters,1
산업공학,산업공학,Masters,1
산업공학,산업공학,Masters,1
산업공학,산업공학,Masters,1
산업공학,산업공학,Masters,1
소비자주생활,정보공학,Masters,1
수학,수학,Masters,1
신문방송학,신문방송학,Masters,1
영어영문학,경영학,Masters,1
응용수학,통계학,Masters,1
전산과학,정보통신,Masters,1
전산학,전산학,Masters,1
전자공학,경영과학,Masters,1
정치학,경제학,Masters,1
정치학,행정학,Masters,1
지리학,경영학,Masters,1
화학공학,생명화학공학,Masters,1
회계및재무관리,경영관리,Masters,1
History and Philosophy of Science,History and Philosophy of Science,Masters,1
생화학,사회복지,Masters,1
영어교육학,정치학,Masters,1
인류학,인류학,Masters,1
화학,과학사,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계공학,Masters,1
기계공학,기계설계학,Masters,1
기계공학,전산역학,Masters,1
기계공학,항공공학,Masters,1
기계설계,기계설계,Masters,1
기계설계학,기계공학,Masters,1
기계설계학,기계공학,Masters,1
무기재료공학,무기재료공학,Masters,1
물리학,물리학,Masters,1
생산공학,정밀공학,Masters,1
전기공학,기계공학,Masters,1
전기공학,전기공학,Masters,1
전기공학,전기컴퓨터공학,Masters,1
정밀공학,기계공학,Masters,1
제어계측공학,전기전자공학,Masters,1
조선공학,조선공학,Masters,1
조선해양공학,조선해양공학,Masters,1
조선해양공학,조선해양공학,Masters,1
토목공학,건설및환경공학,Masters,1
항공공학,항공공학,Masters,1
항공우주공학,항공우주공학,Masters,1
항공우주공학,항공우주공학,Masters,1
화학공학,화학공학,Masters,1
화학공학,화학공학,Masters,1
경영,마케팅학,Masters,1
경영학,경영학,Masters,1
경제학,경제학,Masters,1
경제학,이론경제학,Masters,1
기계공학,기술정책,Masters,1
기계설계학,기계공학,Masters,1
농화학,회계학,Masters,1
무역학,기술변화산업전략,Masters,1
사학,심리학,Masters,1
산업공학,경영학,Masters,1
산업공학,산업공학,Masters,1
산업심리학,산업 및 조직심리학,Masters,1
수학,수학,Masters,1
응용수학,산업공학,Masters,1
재료공학,재료공학,Masters,1
전산,경제,Masters,1
행정학,정책학,Masters,1
물리학,물리학,Masters,1
생명과학,생명과학,Masters,1
원자핵공학,물리학,Masters,1
전기공학,전기공학,Masters,1
화학,화학,Masters,1
화학공학,생명화학공학,Masters,1
기계공학,기계공학,Masters,1
응용물리학,전산학,Masters,1
전기공학,전기공학,Masters,1
전산학,전산학,Masters,1
전자공학,전자공학,Masters,1
전자공학,컴퓨터공학,Masters,1
주거환경학,주거환경학,Masters,1
기계공학,기계공학,Masters,1
물리,물리,Masters,1
물리학,광학,Masters,1
물리학,물리학,Masters,1
물리학,물리학,Masters,1
물리학,물리학,Masters,1
물리학,물리학,Masters,1
물리학,물리학,Masters,1
물리학,물리학,Masters,1
물리학,물리학,Masters,1
물리학,물리학,Masters,1
물리학,물리학,Masters,1
물리학,물리학,Masters,1
물리학,물리학,Masters,1
물리학,물리학,Masters,1
물리학,물리학,Masters,1
물리학,물리학,Masters,1
물리학,물리학,Masters,1
물리학,물리학,Masters,1
물리학,천체물리학,Masters,1
수학,수학,Masters,1
원자핵공학,원자핵공학,Masters,1
응용물리학,고체물리학,Masters,1
전기공학,전기컴퓨터공학,Masters,1
해양물리학,물리학,Masters,1
